"","id","first_name","surname","handballs","deb","games"
"481",2230,"Michael","Turner",1,1974-06-01,37
"482",2356,"Reg","Gleeson",0,1970-04-11,37
"483",4065,"Lance","Franklin",2,2005-06-11,37
"484",4084,"Dale","Morris",5,2005-08-20,37
"485",4114,"Mark","LeCras",3,2006-07-15,37
"486",11540,"Lindsay","Thomas",3,2007-03-31,37
"487",11636,"Scott","Thompson",5,2008-05-03,37
"488",11711,"Jeff","Garlett",2,2009-03-26,37
"489",11,"Jason","McCartney",3,1992-09-05,36
"490",22,"Ben","Hart",1,1992-08-16,36
"491",139,"Peter","Dean",4,1984-06-16,36
"492",315,"Scott","Cummings",0,1994-07-10,36
"493",336,"Matthew","Lloyd",4,1995-09-09,36
"494",380,"Doug","Hawkins",4,1978-04-08,36
"495",380,"Doug","Hawkins",5,1978-04-29,36
"496",422,"Chris","Grant",2,1990-04-25,36
"497",461,"Nicky","Winmar",3,1987-04-11,36
"498",560,"Peter","Riccardi",5,1992-05-09,36
"499",584,"Barry","Stoneham",5,1986-05-03,36
"500",587,"Steven","King",3,1996-07-07,36
"501",587,"Steven","King",4,1996-05-08,36
"502",614,"Paul","Chapman",4,2001-09-01,36
"503",628,"Mark","Graham",3,1994-05-07,36
"504",639,"Chris","Langford",4,1983-08-06,36
"505",662,"Nathan","Thompson",2,1999-08-08,36
"506",695,"Garry","Lyon",2,1986-05-24,36
"507",707,"Graeme","Yeats",3,1984-05-26,36
"508",731,"Russell","Robertson",3,1997-08-15,36
"509",761,"Craig","Sholl",2,1987-07-11,36
"510",761,"Craig","Sholl",4,1987-07-04,36
"511",767,"Mark","Roberts",4,1985-08-25,36
"512",770,"Brett","Allison",2,1987-04-18,36
"513",788,"Brent","Harvey",5,1997-06-09,36
"514",791,"Byron","Pickett",2,1998-04-25,36
"515",791,"Byron","Pickett",3,1998-05-03,36
"516",820,"Michael","Wilson",4,1997-07-13,36
"517",919,"Nathan","Burke",5,1987-07-12,36
"518",955,"Max","Hudghton",4,1997-05-25,36
"519",977,"Justin","Koschitzke",3,2001-04-21,36
"520",1020,"Jason","Ball",3,1994-05-27,36
"521",1035,"Michael","Brennan",2,1987-05-08,36
